Teff    log g  R/Rsun  Mdot       vinf
 (K)    (cgs)        (Msun/yr)   (km/s)
47000.  4.00   11.4   1.20e-06    3074.
n = 2971

  Wavelength      Eddington flux    Continuum   Normalized spectrum
  (Angstroms)     (erg/s/cm2/Hz)  (erg/s/cm2/Hz)

  2.11865869e+03  3.07496614e-03  3.07499454e-03  9.99990761e-01
  2.11732764e+03  3.06028151e-03  3.07763088e-03  9.94362712e-01
  2.11599390e+03  3.07929167e-03  3.08027212e-03  9.99681652e-01
  2.11466211e+03  3.08191334e-03  3.08291009e-03  9.99676645e-01
  2.11333179e+03  2.87704985e-03  3.08554480e-03  9.32428479e-01
  2.11200317e+03  3.08812829e-03  3.08817625e-03  9.99984443e-01
  2.11067627e+03  3.09077348e-03  3.09080444e-03  9.99989986e-01
  2.10934668e+03  3.09342588e-03  3.09343729e-03  9.99996305e-01
  2.10801904e+03  3.09561240e-03  3.09606711e-03  9.99853134e-01
  2.10669287e+03  3.09809274e-03  3.09869344e-03  9.99806106e-01
  2.10536841e+03  3.10127949e-03  3.10131651e-03  9.99988019e-01
  2.10404590e+03  3.10359662e-03  3.10393656e-03  9.99890506e-01
  2.10272046e+03  3.10648046e-03  3.10656126e-03  9.99974012e-01
  2.10139697e+03  3.10905394e-03  3.10918270e-03  9.99958634e-01
  2.10007495e+03  3.11176432e-03  3.11180088e-03  9.99988258e-01
  2.09875464e+03  3.09494371e-03  3.11441580e-03  9.93747771e-01
  2.09743604e+03  3.11694667e-03  3.11702723e-03  9.99974132e-01
  2.09611499e+03  3.11957439e-03  3.11964378e-03  9.99977767e-01
  2.09479541e+03  3.12222959e-03  3.12225707e-03  9.99991179e-01
  2.09347778e+03  3.12472717e-03  3.12486710e-03  9.99955297e-01
  2.09216162e+03  3.12689529e-03  3.12747364e-03  9.99815106e-01
  2.09084717e+03  3.12990998e-03  3.13007692e-03  9.99946594e-01
  2.08953027e+03  3.13255726e-03  3.13268532e-03  9.99959111e-01
  2.08821484e+03  3.13521712e-03  3.13529023e-03  9.99976695e-01
  2.08690137e+03  3.13755195e-03  3.13789211e-03  9.99891639e-01
  2.08558936e+03  3.14040179e-03  3.14049050e-03  9.99971807e-01
  2.08427905e+03  2.88662873e-03  3.14313010e-03  9.18393016e-01
  2.08296631e+03  3.14568379e-03  3.14581138e-03  9.99959469e-01
  2.08165503e+03  3.14845098e-03  3.14848917e-03  9.99987900e-01
  2.08034546e+03  2.81117694e-03  3.15116369e-03  8.92107546e-01
  2.07903760e+03  3.15368851e-03  3.15383472e-03  9.99953687e-01
  2.07773145e+03  3.15412180e-03  3.15650250e-03  9.99245822e-01
  2.07642261e+03  3.15910554e-03  3.15917516e-03  9.99978006e-01
  2.07511572e+03  3.16179986e-03  3.16184456e-03  9.99985874e-01
  2.07381030e+03  3.16449255e-03  3.16451048e-03  9.99994338e-01
  2.07250659e+03  3.16723762e-03  3.16717313e-03  1.00002027e+00
  2.07120435e+03  3.14655062e-03  3.16983252e-03  9.92655158e-01
  2.06989990e+03  3.17238714e-03  3.17249680e-03  9.99965429e-01
  2.06859692e+03  3.17507796e-03  3.17515782e-03  9.99974847e-01
  2.06729565e+03  3.17776715e-03  3.17781558e-03  9.99984801e-01
  2.06599585e+03  3.17156245e-03  3.18046985e-03  9.97199357e-01
  2.06469800e+03  2.98011769e-03  3.18312086e-03  9.36225176e-01
  2.06339746e+03  3.18568759e-03  3.18577676e-03  9.99972045e-01
  2.06209863e+03  3.18805547e-03  3.18842940e-03  9.99882758e-01
  2.06080127e+03  3.19099217e-03  3.19107878e-03  9.99972880e-01
  2.05950586e+03  3.19365878e-03  3.19372467e-03  9.99979377e-01
