Age (s),L_FUV/M (L_sun/M_sun)
48600000.0,7.336846008736152
48700000.0,7.321085956579954
48800000.0,7.3081355050181465
48900000.0,7.276355188896618
49000000.0,7.27202422827074
49100000.0,7.251269764028434
49200000.0,7.231982742016859
49300000.0,7.235015162279059
49400000.0,7.221453999265527
49500000.0,7.190808764367313
49600000.0,7.20168022522255
49700000.0,7.184122153597574
49800000.0,7.16127131925948
49900000.0,7.164082238780459
50000000.0,7.157891788597598
50100000.0,7.131145089780612
50200000.0,7.122753984317334
50300000.0,7.129071837538029
50400000.0,7.0988373787661745
50500000.0,7.085213888800931
50600000.0,7.080393221769033
50700000.0,7.077355020100656
50800000.0,7.048120086482045
50900000.0,7.052547601176502
51000000.0,7.03693039472629
51100000.0,7.012622314544604
51200000.0,7.009217185109303
51300000.0,6.987948271908003
51400000.0,6.965289898738338
51500000.0,6.962589359174151
51600000.0,6.950393707531493
51700000.0,6.926452416527066
51800000.0,6.923044920788802
51900000.0,6.911762096903681
52000000.0,6.890295895548238
52100000.0,6.879904349349477
52200000.0,6.878203154435531
52300000.0,6.858021904915938
52400000.0,6.837471457738923
52500000.0,6.84743451163695
52600000.0,6.835681295855608
52700000.0,6.802199128391521
52800000.0,6.802380802575241
52900000.0,6.793474869269593
53000000.0,6.76564770867593
53100000.0,6.759297039717791
53200000.0,6.748722231974981
53300000.0,6.730935531296537
53400000.0,6.723165499531033
53500000.0,6.710543706301873
53600000.0,6.699345369995075
53700000.0,6.683608904304866
53800000.0,6.676461494467432
53900000.0,6.658594895061904
54000000.0,6.645742761237269
54100000.0,6.633363736094877
54200000.0,6.622899133083315
54300000.0,6.5993748864235
54400000.0,6.596830597384026
54500000.0,6.588427520238054
54600000.0,6.555138232952597
54700000.0,6.566811057635592
54800000.0,6.544986088427035
54900000.0,6.51818564371192
55000000.0,6.5193495809275985
55100000.0,6.508392126620569
55200000.0,6.485050664357183
55300000.0,6.475486096440554
55400000.0,6.465622414968755
55500000.0,6.457564254316153
55600000.0,6.4383619838109825
55700000.0,6.427289090354576
55800000.0,6.420615796531219
55900000.0,6.390589956257358
56000000.0,6.385922992993907
56100000.0,6.383902387415682
56200000.0,6.353930405432991
56300000.0,6.3462184306252105
56400000.0,6.340481521184647
56500000.0,6.309028712496446
56600000.0,6.309497131738045
56700000.0,6.288502482465635
56800000.0,6.266714117506026
56900000.0,6.257435164580985
57000000.0,6.250298338059154
57100000.0,6.227660556601972
57200000.0,6.207922641727016
57300000.0,6.20354412569377
57400000.0,6.183061700044885
57500000.0,6.151663386356712
57600000.0,6.145641094517162
57700000.0,6.138184919263398
57800000.0,6.105100285573021
57900000.0,6.090611168107506
58000000.0,6.085121586441683
58100000.0,6.054569222425421
58200000.0,6.034337583103748
58300000.0,6.015898776033465
58400000.0,6.000285126630807
58500000.0,5.985857288198901
58600000.0,5.978328277566429
58700000.0,5.9598258056505085
58800000.0,5.957450048705763
58900000.0,5.949402221715557
59000000.0,5.933589809567419
59100000.0,5.92101242705939
59200000.0,5.9165968344587885
59300000.0,5.906838066728398
59400000.0,5.890332147350745
59500000.0,5.883538162963587
59600000.0,5.885776358999741
59700000.0,5.857045031424185
59800000.0,5.842357982173281
59900000.0,5.850894378432532
60000000.0,5.831998039876278
60100000.0,5.821363616346834
60200000.0,5.811970179896074
60300000.0,5.810609154831987
60400000.0,5.790036758408339
60500000.0,5.784175076338868
60600000.0,5.7798783995092595
60700000.0,5.758588419168738
60800000.0,5.749240341984398
60900000.0,5.746257545853883
61000000.0,5.7315102835699205
61100000.0,5.7201630793330045
61200000.0,5.721976807684441
61300000.0,5.698056777587679
61400000.0,5.689310934722803
61500000.0,5.6869279575185505
61600000.0,5.668788986430839
61700000.0,5.652981923434703
61800000.0,5.6529119652739235
61900000.0,5.635951846310558
62000000.0,5.616557017333298
62100000.0,5.6193157487676535
62200000.0,5.609102673670019
62300000.0,5.58749561537568
62400000.0,5.5774953187633125
62500000.0,5.585133314342394
62600000.0,5.5587829193645515
62700000.0,5.555638743783429
62800000.0,5.5519103054128776
62900000.0,5.535008743543089
63000000.0,5.5207070312485715
63100000.0,5.523379230598386
63200000.0,5.505731145388734
63300000.0,5.492899572669985
63400000.0,5.487896993031897
63500000.0,5.474796639033889
63600000.0,5.4606947101225884
63700000.0,5.45506809438838
63800000.0,5.4465750832357145
63900000.0,5.421107523767898
64000000.0,5.424574565535856
64100000.0,5.413386228200376
64200000.0,5.392377682141719
64300000.0,5.38973254519762
64400000.0,5.39892905096686
64500000.0,5.362848732339863
64600000.0,5.348086680055334
64700000.0,5.35528284855167
64800000.0,5.321025173504619
64900000.0,5.304246978215304
65000000.0,5.297662264406708
65100000.0,5.29194239766147
65200000.0,5.273694798274677
65300000.0,5.26263791830632
65400000.0,5.260359358886689
65500000.0,5.236267649031935
65600000.0,5.224232879433335
65700000.0,5.220164217332349
65800000.0,5.1969557201782255
65900000.0,5.188423697419298
66000000.0,5.181266119679611
66100000.0,5.160652440505971
66200000.0,5.152097483631938
66300000.0,5.153251211750025
66400000.0,5.127397395215795
66500000.0,5.120708494670976
66600000.0,5.1194870999886435
66700000.0,5.091511370225124
66800000.0,5.07464813407609
66900000.0,5.079843674564931
67000000.0,5.060266812645786
67100000.0,5.039287876113808
67200000.0,5.038052861860228
67300000.0,5.030236113367094
67400000.0,5.006848128666858
67500000.0,4.99797211373857
67600000.0,4.99565603196827
67700000.0,4.96940927530763
67800000.0,4.958634676891465
67900000.0,4.952319674034181
68000000.0,4.93962624607229
